feature,importance
sub_grade_encoded,0.213382476198283
grade_encoded,0.1763420023448218
int_rate,0.17443695290083666
term_years,0.08526460399607384
fico_avg,0.04573691661984204
loan_to_income_ratio,0.03979499818757236
dti,0.03363859156720081
installment_to_income_ratio,0.030180923570907653
issue_year,0.028907085203814263
mort_acc,0.01780297621084805
installment,0.017710641348630853
loan_amnt,0.016022849148456173
annual_inc,0.015880384725058927
home_MORTGAGE,0.014642256609673374
verification_status_encoded,0.013524306928009724
revol_bal,0.010246317176821807
home_RENT,0.010036628028607227
revol_util,0.009856608647162535
credit_history_years,0.00840494836575049
open_acc,0.006652251755486017
total_acc,0.0053723317025171765
emp_length,0.004634321617184538
issue_month,0.0035768599644009345
purpose_credit_card,0.002501539470295491
pub_rec,0.0020975151180696455
delinq_2yrs,0.0017529700032661336
purpose_debt_consolidation,0.0011921659095336767
state_CA,0.0009229241136008243
purpose_small_business,0.0008816005998321776
state_CO,0.0008593956366736111
home_OWN,0.0008590859025291049
state_NY,0.0006604652741145794
state_WA,0.0005398551527881817
state_OR,0.0004529533993312713
state_FL,0.00042765177124656485
purpose_other,0.00039215551016877066
state_TX,0.0003474840068770443
purpose_home_improvement,0.000329263240521208
state_NJ,0.00025789942819489276
state_IL,0.00024274583082140958
state_PA,0.00022719621109312373
state_GA,0.0002242746429454487
state_SC,0.00019788723946893527
purpose_major_purchase,0.00015686900935129558
state_OH,0.00014722322083779584
state_NC,0.00014186057786582282
state_VA,0.0001314346510747938
state_AZ,0.00012646630718962036
state_MD,0.00012549960518946722
state_NV,0.00012093750772053137
purpose_medical,0.00011585600396383654
state_MI,0.00011581043609412762
state_CT,0.00011103025212603796
state_MO,9.232198975942208e-05
state_LA,9.112027711031069e-05
state_AL,8.816796377784116e-05
state_MA,8.557479757564307e-05
state_AR,8.287668490830032e-05
state_IN,7.497193774849055e-05
state_OK,7.119081126016406e-05
state_MN,7.080505811154433e-05
state_TN,6.901209156222363e-05
purpose_moving,6.56656201855885e-05
state_WI,6.0180287126437016e-05
state_NH,5.268602571969591e-05
purpose_vacation,5.248544792382999e-05
state_KS,4.8311299965121304e-05
state_UT,4.527424570539537e-05
state_MS,3.493050901647393e-05
purpose_wedding,3.461912752940445e-05
state_DC,3.445830809288069e-05
state_KY,2.3268839124643287e-05
state_WV,1.7272659176478243e-05
state_NM,1.5064425752036053e-05
purpose_house,1.4875995284205284e-05
state_HI,1.3122424925691018e-05
state_ME,1.0776618755344323e-05
state_VT,8.841440634648547e-06
state_MT,8.522729102386539e-06
state_WY,8.038223661346627e-06
state_RI,6.626807348950158e-06
state_NE,4.2933563971527975e-06
state_ID,3.305438645119416e-06
state_DE,2.6576813473323226e-06
state_SD,4.320260201242325e-07
home_OTHER,0.0
home_NONE,0.0
state_IA,0.0
purpose_renewable_energy,0.0
purpose_educational,0.0
state_ND,0.0
