feature,bin,good,bad,default_rate_pct,WoE,coefficient,points,IV
grade,A,209619,12801,5.76,1.3811,-0.492,169.6,0.4749
grade,B,322141,48046,12.98,0.4882,-0.492,156.9,0.4749
grade,C,280398,78934,21.97,-0.147,-0.492,147.9,0.4749
grade,D,132182,56366,29.89,-0.5623,-0.492,142.0,0.4749
grade,E,54909,33822,38.12,-0.9301,-0.492,136.8,0.4749
grade,F,16906,13700,44.76,-1.2044,-0.492,132.9,0.4749
grade,G,4496,4366,49.27,-1.3853,-0.492,130.3,0.4749
int_rate,"(5.308999999999999, 7.39]",121856,5893,4.61,1.6144,-0.321,165.0,0.4636
int_rate,"(7.39, 8.9]",118268,10517,8.17,1.0053,-0.321,159.3,0.4636
int_rate,"(8.9, 10.49]",114466,15194,11.72,0.6048,-0.321,155.6,0.4636
int_rate,"(10.49, 11.53]",107946,19130,15.05,0.3157,-0.321,152.9,0.4636
int_rate,"(11.53, 12.74]",103791,20921,16.78,0.187,-0.321,151.7,0.4636
int_rate,"(12.74, 13.98]",100090,24577,19.71,-0.0104,-0.321,149.9,0.4636
int_rate,"(13.98, 15.22]",97860,29122,22.93,-0.2026,-0.321,148.1,0.4636
int_rate,"(15.22, 16.99]",96152,34432,26.37,-0.3877,-0.321,146.4,0.4636
int_rate,"(16.99, 19.48]",83527,38246,31.41,-0.6335,-0.321,144.1,0.4636
int_rate,"(19.48, 30.99]",76695,50003,39.47,-0.9869,-0.321,140.9,0.4636
term,36,808450,147836,15.46,0.2844,-0.5079,154.2,0.186
term,60,212201,100199,32.07,-0.6643,-0.5079,140.3,0.186
fico_avg,"(611.999, 667.0]",165625,57795,25.87,-0.3618,-0.4112,145.7,0.127
fico_avg,"(667.0, 672.0]",83449,26631,24.19,-0.2725,-0.4112,146.8,0.127
fico_avg,"(672.0, 677.0]",75658,23054,23.35,-0.2262,-0.4112,147.3,0.127
fico_avg,"(677.0, 682.0]",75625,22101,22.62,-0.1845,-0.4112,147.8,0.127
fico_avg,"(682.0, 692.0]",134366,35171,20.75,-0.0743,-0.4112,149.1,0.127
fico_avg,"(692.0, 697.0]",60384,14599,19.47,0.0051,-0.4112,150.1,0.127
fico_avg,"(697.0, 707.0]",107282,23354,17.88,0.1101,-0.4112,151.3,0.127
fico_avg,"(707.0, 722.0]",121555,21861,15.24,0.301,-0.4112,153.6,0.127
fico_avg,"(722.0, 742.0]",91616,13378,12.74,0.5094,-0.4112,156.1,0.127
fico_avg,"(742.0, 847.5]",105091,10091,8.76,0.9286,-0.4112,161.0,0.127
