feature,importance
grade_encoded,0.42608532
sub_grade_encoded,0.24080807
term_years,0.039498433
mort_acc,0.016733004
loan_to_income_ratio,0.016518362
home_MORTGAGE,0.014104102
dti,0.012295976
issue_year,0.011550678
home_RENT,0.011158929
fico_avg,0.011085861
verification_status_encoded,0.009353305
issue_month,0.008996793
state_CA,0.007855375
installment_to_income_ratio,0.007293431
purpose_small_business,0.0071074385
state_WA,0.0069908127
state_CO,0.0066990005
int_rate,0.0066078617
state_OR,0.0065571954
emp_length,0.0061185104
state_SC,0.0053025912
state_NY,0.0051530595
annual_inc,0.004769283
open_acc,0.0046378598
state_NH,0.004121748
state_ME,0.0039822394
revol_bal,0.0039551156
state_GA,0.0037980932
state_LA,0.0037285292
state_OK,0.003611687
state_IL,0.0035662088
state_AR,0.0034605109
state_MS,0.003401148
state_KS,0.0032878993
home_OWN,0.003271565
state_DC,0.0032163393
state_VT,0.0032058074
state_UT,0.0031898245
state_NJ,0.0030822845
credit_history_years,0.0030520037
state_AL,0.0030203788
purpose_home_improvement,0.0028625117
pub_rec,0.0028416333
loan_amnt,0.0027600522
state_WV,0.00256287
state_CT,0.0025448515
state_FL,0.002487579
state_MT,0.0024737653
purpose_medical,0.0024679922
delinq_2yrs,0.0024434142
installment,0.002356618
purpose_credit_card,0.002063944
state_NM,0.0019610738
state_WI,0.0019350008
total_acc,0.0017405493
revol_util,0.0016521572
state_MD,0.0016204898
purpose_debt_consolidation,0.0014488882
purpose_other,0.0012596769
purpose_wedding,0.0011967993
purpose_moving,0.0010518467
state_NC,0.0010303254
state_KY,0.0008690512
state_TX,0.0008214082
state_MN,0.0007374233
state_MO,0.00070578465
purpose_renewable_energy,0.00067352754
state_OH,0.00062777166
purpose_major_purchase,0.0005703354
home_OTHER,0.0
home_NONE,0.0
purpose_educational,0.0
state_DE,0.0
purpose_house,0.0
purpose_vacation,0.0
state_IN,0.0
state_HI,0.0
state_IA,0.0
state_ID,0.0
state_AZ,0.0
state_MI,0.0
state_ND,0.0
state_MA,0.0
state_NV,0.0
state_NE,0.0
state_RI,0.0
state_PA,0.0
state_TN,0.0
state_SD,0.0
state_VA,0.0
state_WY,0.0
